,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue,Total_Pages,Total_Duration,Month_sin,Month_cos,Duration per Page Administrative,Duration per Page Informational,Duration per Page ProductRelated
0,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,1,1,1,1,2,0,0,1,0.0,0.8660254037844386,0.5000000000000001,,,0.0
1,0,0.0,0,0.0,2,64.0,0.0,0.1,0.0,0.0,2,2,1,2,2,0,0,2,64.0,0.8660254037844386,0.5000000000000001,,,32.0
2,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,4,1,9,3,2,0,0,1,0.0,0.8660254037844386,0.5000000000000001,,,0.0
3,0,0.0,0,0.0,2,2.666666667,0.05,0.14,0.0,0.0,3,2,2,4,2,0,0,2,2.666666667,0.8660254037844386,0.5000000000000001,,,1.3333333335
4,0,0.0,0,0.0,10,627.5,0.02,0.05,0.0,0.0,3,3,1,4,2,1,0,10,627.5,0.8660254037844386,0.5000000000000001,,,62.75
5,0,0.0,0,0.0,19,154.2166667,0.015789474,0.024561404,0.0,0.0,2,2,1,3,2,0,0,19,154.2166667,0.8660254037844386,0.5000000000000001,,,8.116666668421052
6,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.4,2,4,3,3,2,0,0,1,0.0,0.8660254037844386,0.5000000000000001,,,0.0
7,1,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,1,2,1,5,2,1,0,1,0.0,0.8660254037844386,0.5000000000000001,0.0,,0.0
8,0,0.0,0,0.0,2,37.0,0.0,0.1,0.0,0.8,2,2,2,3,2,0,0,2,37.0,0.8660254037844386,0.5000000000000001,,,18.5
9,0,0.0,0,0.0,3,738.0,0.0,0.022222222,0.0,0.4,2,4,1,2,2,0,0,3,738.0,0.8660254037844386,0.5000000000000001,,,246.0
10,0,0.0,0,0.0,3,395.0,0.0,0.066666667,0.0,0.0,1,1,3,3,2,0,0,3,395.0,0.8660254037844386,0.5000000000000001,,,131.66666666666666
11,0,0.0,0,0.0,16,407.75,0.01875,0.025833333,0.0,0.4,1,1,4,3,2,0,0,16,407.75,0.8660254037844386,0.5000000000000001,,,25.484375
12,0,0.0,0,0.0,7,280.5,0.0,0.028571429,0.0,0.0,1,1,1,3,2,0,0,7,280.5,0.8660254037844386,0.5000000000000001,,,40.07142857142857
13,0,0.0,0,0.0,6,98.0,0.0,0.066666667,0.0,0.0,2,5,1,3,2,0,0,6,98.0,0.8660254037844386,0.5000000000000001,,,16.333333333333332
